run_name,scenario,loss_weight,pde_weight,noise_type,noise_level,bias_type,bias_level,rel_l2_u,rel_l2_v,rel_l2_p,adam_steps,n_train
lw_0p000,clean,0.0,1.0,none,0.0,none,0.0,0.9990081191062927,0.999981164932251,0.7810481786727905,10000,5000
lw_0p000_cosine_0p300,bias_cosine_0p300,0.0,1.0,none,0.0,cosine,0.3,0.9990081191062927,0.999981164932251,0.7810481786727905,10000,5000
lw_0p000_cosine_0p500,bias_cosine_0p500,0.0,1.0,none,0.0,cosine,0.5,0.9990081191062927,0.999981164932251,0.7810481786727905,10000,5000
lw_0p000_cosine_0p800,bias_cosine_0p800,0.0,1.0,none,0.0,cosine,0.8,0.9990081191062927,0.999981164932251,0.7810481786727905,10000,5000
lw_0p000_gaussian_0p050,noise_gaussian_0p050,0.0,1.0,gaussian,0.05,none,0.0,0.9990081191062927,0.999981164932251,0.7810481786727905,10000,5000
lw_0p000_gaussian_0p050_cosine_0p300,noise_gaussian_0p050__bias_cosine_0p300,0.0,1.0,gaussian,0.05,cosine,0.3,0.9990081191062927,0.999981164932251,0.7810481786727905,10000,5000
lw_0p000_gaussian_0p050_cosine_0p500,noise_gaussian_0p050__bias_cosine_0p500,0.0,1.0,gaussian,0.05,cosine,0.5,0.9990081191062927,0.999981164932251,0.7810481786727905,10000,5000
lw_0p000_gaussian_0p050_cosine_0p800,noise_gaussian_0p050__bias_cosine_0p800,0.0,1.0,gaussian,0.05,cosine,0.8,0.9990081191062927,0.999981164932251,0.7810481786727905,10000,5000
lw_0p200,clean,0.2,0.8,none,0.0,none,0.0,0.05336087942123413,0.21937717497348785,0.3243692219257355,10000,5000
lw_0p200_cosine_0p300,bias_cosine_0p300,0.2,0.8,none,0.0,cosine,0.3,0.11650717258453369,0.3107735514640808,1.6713794469833374,10000,5000
lw_0p200_cosine_0p500,bias_cosine_0p500,0.2,0.8,none,0.0,cosine,0.5,0.2519190013408661,1.053806185722351,1.1242965459823608,10000,5000
lw_0p200_cosine_0p800,bias_cosine_0p800,0.2,0.8,none,0.0,cosine,0.8,0.36792004108428955,1.2145211696624756,1.7294255495071411,10000,5000
lw_0p200_gaussian_0p050,noise_gaussian_0p050,0.2,0.8,gaussian,0.05,none,0.0,0.0519954077899456,0.21303662657737732,0.28956153988838196,10000,5000
lw_0p200_gaussian_0p050_cosine_0p300,noise_gaussian_0p050__bias_cosine_0p300,0.2,0.8,gaussian,0.05,cosine,0.3,0.11479102075099945,0.2867629826068878,2.510652542114258,10000,5000
lw_0p200_gaussian_0p050_cosine_0p500,noise_gaussian_0p050__bias_cosine_0p500,0.2,0.8,gaussian,0.05,cosine,0.5,0.24883094429969788,1.0426487922668457,1.1150561571121216,10000,5000
lw_0p200_gaussian_0p050_cosine_0p800,noise_gaussian_0p050__bias_cosine_0p800,0.2,0.8,gaussian,0.05,cosine,0.8,0.36628445982933044,1.2001904249191284,1.714557409286499,10000,5000
lw_0p500,clean,0.5,0.5,none,0.0,none,0.0,0.0416138619184494,0.16014105081558228,0.4686904847621918,10000,5000
lw_0p500_cosine_0p300,bias_cosine_0p300,0.5,0.5,none,0.0,cosine,0.3,0.12536635994911194,0.27188143134117126,1.9776148796081543,10000,5000
lw_0p500_cosine_0p500,bias_cosine_0p500,0.5,0.5,none,0.0,cosine,0.5,0.21351458132266998,0.4664432108402252,1.1778812408447266,10000,5000
lw_0p500_cosine_0p800,bias_cosine_0p800,0.5,0.5,none,0.0,cosine,0.8,0.33850187063217163,0.7843076586723328,1.8609176874160767,10000,5000
lw_0p500_gaussian_0p050,noise_gaussian_0p050,0.5,0.5,gaussian,0.05,none,0.0,0.03620290011167526,0.14550697803497314,0.3403187692165375,10000,5000
lw_0p500_gaussian_0p050_cosine_0p300,noise_gaussian_0p050__bias_cosine_0p300,0.5,0.5,gaussian,0.05,cosine,0.3,0.12360213696956635,0.26810988783836365,1.2243341207504272,10000,5000
lw_0p500_gaussian_0p050_cosine_0p500,noise_gaussian_0p050__bias_cosine_0p500,0.5,0.5,gaussian,0.05,cosine,0.5,0.2125239372253418,0.46411463618278503,1.034412145614624,10000,5000
lw_0p500_gaussian_0p050_cosine_0p800,noise_gaussian_0p050__bias_cosine_0p800,0.5,0.5,gaussian,0.05,cosine,0.8,0.3575315773487091,0.9496244192123413,1.7581772804260254,10000,5000
